"","period","revenue","year","ebit_marg"
"1","1",1563.1,2016,"7.5"
"2","2",1624.4,2016,"8.3"
"3","3",1416.3,2016,"2.1"
"4","4",1508.7,2016,"4.1"
"5","1",1645.9,2017,"8.1"
"6","2",1769.2,2017,"8.7"
"7","3",1715.4,2017,"6.1"
"8","4",1733.2,2017,"2.8"
"9","1",1837.2,2018,"7.2"
"10","2",1863.7,2018,"7.7"
"11","3",1773.3,2018,"3.8"
"12","4",1827.1,2018,"0.3"
"13","1",2012.7,2019,"7.2"
"14","2",2151.4,2019,"8.8"
"15","3",2018.5,2019,"4.0"
"16","4",2143.8,2019,"5.3"
"17","1",2254,2020,"7.7"
"18","2",2483.1,2020,"11.4"
"19","3",2146.7,2020,"5.2"
